year,INC,Open,Dcont,Rcont,Ocont,Midterm.,PVI..0.to.100.,PVI...100.to.100.,PresYrsIncumb,PresParty,Pres_Incumbent_SameParty,PrevElectionR.,PrevElectionD.,PrevElectionIncumbParty.,PrevElection2R.,PrevElection2D.,PrevElection2IncumbParty.,PrevPresR.,PrevPresD.,PrevPresImcumb.,PrevPresParty,PrevPresSameAsInc.,YearsIncumbPartyControl,TermsDemControl,TermsRepControl,Age.25.to.44,Age.65.and.over,Race.White,Race.Black.or.African.American,Race.American.Indian.and.Alaska.Native,Race.Asian,Race.Native.Hawaiian.and.Other.Pacific.Islander,Race.Some.other.race,Race.Two.or.more.races,Race.Hispanic.or.Latino,Unemployment.Rate,Delta.unemployment.Rate,Median.household.income,PercentDelta.median.household.income,Percent.below.poverty.level,INC_DW_NOM,IncWin,midtermEffect,ideologyEffect,IncCont,NincCont,IncContDiff,dContDiff,logIncCont,Repub,PVIeffect,logNincCont,IncPct2,SabatoScore,modelData$ID,logIncContPred,logNincContPred,IncCalc,IncDiff50,IncDiff50_2,NincCalc,NincDiff50,NincDiff50_2,dContDiff,rContDiff,ID,dPct2,rPct2,dWin
2006,D,0,622374.33,0,0,1,38.5,-23,6,R,0,0.263285806,0.708916453,0.708916453,0.298020114,0.670179468,0.670179468,36,63,63,D,1,13,13,0,47.4,7.5,41.3,3.6,1,26.9,0.4,21.7,5.1,39.8,5.067977844,2.032022156,65593,0.071562514,10.4,-0.401,1,-1,9.223,622374.33,0,13.34129861,622374.33,13.34129861,-1,23,0,0.727103683,5,2006CA16,0.005359106,-0.004870447,-42.37715742,-622374.33,-622375.33,4.66E+01,1.78108E+20,1.00E+08,-622375.33,100000000,CA16,0.727103683,0.272896317,1
2006,D,0,678908.43,0,0,1,38.5,-23,6,R,0,0.291710158,0.66729981,0.66729981,0.27016129,0.680741614,0.680741614,33,66,66,D,1,8,8,0,47.6,10,61.2,2.7,1.1,5,0.3,24.8,4.9,42.6,9.302384512,0.497615488,49441,0.138528751,13.2,-0.455,1,-1,10.465,678908.43,0,13.42824301,678908.43,13.42824301,-1,23,0,0.770669254,5,2006CA17,-1.93E-05,-0.022129781,14003.11873,#NUM!,100000000,12.23099539,205046.1819,205046.1819,100000000,205046.1819,CA17,0.770669254,0.229330746,1
2006,D,0,952162.28,138769.54,0,1,41.5,-17,6,R,0,0.3251228,0.6748772,0.6748772,0.433677333,0.512633106,0.512633106,50,49,49,R,0,12,12,0,45.9,10.1,65,3.1,1.2,4.9,0.3,20.1,5.4,36.4,12.14725474,-0.34725474,38481,0.04893324,17.7,-0.262,1,-1,4.454,952162.28,138769.54,1.925914755,813392.74,13.76649181,-1,17,11.84057706,0.654769899,5,2006CA18,0.000502279,-0.022193575,-308.1355762,-952162.28,-952163.28,6.973635277,148081840,100000000,-952163.28,100000000,CA18,0.654769899,0.345230101,1
2006,R,0,886089.01,1197709.12,0,1,58,16,6,R,1,0.660339023,0.272234596,0.660339023,0.673052306,0.300395432,0.673052306,61,38,61,R,1,6,0,6,42.2,10.9,63.7,4.5,1.8,7.2,0.1,18,4.8,32.9,9.39835151,-1.09835151,37915,0.33601477,18.4,0.484,1,1,7.744,1197709.12,886089.01,0.301348243,-311620.11,13.99592206,1,16,13.69457382,0.605767223,5,2006CA19,-0.001343256,0.00789273,78.73942938,1.88E+40,100000000,-13.40058734,-886088.6682,-8.86E+05,-886089.01,100000000,CA19,0.394232777,0.605767223,0
2006,R,0,154341.22,991879.87,0,1,60.5,21,6,R,1,0.731721395,0.268278605,0.731721395,0.704874475,0.262355271,0.704874475,65,34,65,R,1,14,0,14,41.7,10.7,68.1,4.5,1.6,3,0.2,18.3,4.3,31.4,10.42426536,-1.524265358,37168,0.218871072,18.4,0.449,1,1,9.429,991879.87,154341.22,1.860430665,-837538.65,13.80735829,1,21,11.94692762,0.690296668,5,2006CA21,0.004274776,0.008424233,-44.51617716,-991879.87,-991880.87,-22.58919755,-154341.22,-154341.22,-154341.22,-991880.87,CA21,0.309703332,0.690296668,0
2006,R,1,27673,1789961.68,0,1,60,20,6,R,1,1,0,1,0.733317101,0.237319293,0.733317101,68,31,68,R,1,2,0,2,43.4,13.4,77.3,2.2,1.1,3.6,0.2,11.6,4,27,7.372709823,-0.272709823,45031,0.124492017,13.8,0.371,1,1,7.42,1789961.68,27673,4.169456705,-1762288.68,14.39770533,1,20,10.22824862,0.70703009,5,2006CA22,-0.000185304,0.005563753,1117.246085,#NUM!,100000000,-37.21051321,-27673,-27673,-27673,100000000,CA22,0.29296991,0.70703009,0
2006,D,0,922780.48,83660.91,2424,1,42.5,-15,6,R,0,0.343540854,0.630298366,0.630298366,0.385915597,0.590252863,0.590252863,40,58,58,D,1,2,2,0,41.7,10.1,66.9,2.1,1,5.3,0.2,20.3,4.2,37.7,6.802660415,-1.202660415,56174,-0.069533948,10.1,-0.389,1,-1,5.835,922780.48,83660.91,2.40060866,839119.57,13.73514774,-1,15,11.33453908,0.651731057,5,2006CA23,-0.000140197,-0.008802093,1082.270086,#NUM!,100000000,1.72E+01,2.56404E+12,1.00E+08,100000000,100000000,CA23,0.651731057,0.348268943,1
2006,R,0,169352.95,1102062.97,0,1,56.5,13,6,R,1,0.628248317,0.338974886,0.628248317,0.651789672,0.317584295,0.651789672,56,43,56,R,1,2,0,2,42.8,12,75.5,2.9,0.5,7.8,0.1,8.9,4.4,19.8,5.418560168,-0.418560168,59889,0.244452237,9.2,0.402,1,1,5.226,1102062.97,169352.95,1.872949134,-932710.02,13.91269532,1,13,12.03974618,0.6202998,5,2006CA24,9.21E-05,0.007069294,-1305.903911,-1102062.97,-1102063.97,-17.01722891,-169352.95,-169352.95,-169352.95,-1102063.97,CA24,0.3797002,0.6202998,0
2006,R,0,230519.08,1371670.86,0,1,56.5,13,6,R,1,0.644222684,0.355777316,0.644222684,0.649650946,0.311044267,0.649650946,59,40,59,R,1,7,0,7,41,8.5,67.4,7.9,0.8,7.6,0.2,11.6,4.6,25,7.836249163,-0.336249163,54788,0.073282471,11.3,0.396,1,1,5.148,1371670.86,230519.08,1.783447637,-1141151.78,14.13154089,1,13,12.34809325,0.626997999,5,2006CA25,0.000384959,0.006535874,-329.9001543,-1371670.86,-1371671.86,-19.4309117,-230519.08,-230519.08,-230519.08,-1371671.86,CA25,0.373002001,0.626997999,0
2006,R,0,178643.49,2627133.66,0,1,53.5,7,6,R,1,0.535797171,0.428021512,0.535797171,0.637731559,0.334922758,0.637731559,55,44,55,R,1,2,0,2,44.1,7.3,46.4,5.1,1,6.6,0.1,35.1,5.7,65.4,9.442209432,-3.442209432,35920,1.023969933,20.9,0.478,1,1,3.346,2627133.66,178643.49,2.688251307,-2448490.17,14.78140433,1,7,12.09315302,0.600496745,5,2006CA26,0.006461513,0.011691336,-15.55312937,-2627133.66,-2627134.66,-8.595830619,-178611.4631,-178643.49,-178643.49,-2627134.66,CA26,0.399503255,0.600496745,0
